Timestamp,Number_Classes,Online_Class_Taken,After_Online_Class,GPA_After,Difficulty_Level
4/3/2024 21:46:42,3,Yes,Better,3,Harder
4/5/2024 9:12:40,3,Yes,Better,3.5,Harder
4/5/2024 9:20:07,3,Yes,Better,3.4,Easier
4/5/2024 9:21:49,5,No,Better,3.9,Harder
4/5/2024 9:23:17,5,Yes,Better,3.8,Easier
4/5/2024 9:23:47,4,Yes,Worse,3.2,Harder
4/5/2024 9:24:05,4,Yes,Better,3.5,Harder
4/5/2024 9:24:54,4,Yes,Better,3.5,Easier
4/5/2024 9:25:01,4,Yes,Worse,3.2,Harder
4/5/2024 9:25:17,4,No,Worse,2.8,Harder
4/5/2024 9:25:33,6,Yes,Better,3.5,Easier
4/5/2024 9:25:44,2,Yes,Worse,3.4,Harder
4/5/2024 9:27:53,3,Yes,Better,3,Easier
4/5/2024 9:28:01,5,No,Worse,4,Harder
4/5/2024 9:35:13,3,Yes,Better,3.8,Easier
4/5/2024 9:35:27,1,Yes,Better,4,Easier
4/5/2024 9:36:21,3,Yes,Better,3.4,Easier
4/5/2024 9:49:13,4,Yes,Better,4,Easier
4/5/2024 10:28:29,2,Yes,Better,3.5,Harder
4/5/2024 10:44:41,3,Yes,Better,3.5,Easier
4/5/2024 10:45:00,4,Yes,Better,3.6,Easier
4/5/2024 10:51:37,5,Yes,Better,3,Easier
4/5/2024 11:12:38,4,Yes,Better,3,Easier
4/5/2024 11:19:32,4,Yes,Worse,3.75,Harder
4/5/2024 11:19:55,6,Yes,Better,3.8,Easier
4/5/2024 11:20:05,6,Yes,Better,3.5,Easier
4/5/2024 11:20:11,3,Yes,Better,3.7,Easier
4/5/2024 11:21:34,3,No,Better,3.1,Easier
4/5/2024 11:25:09,4,Yes,Worse,3.2,Harder
4/5/2024 11:25:34,6,Yes,Better,3.8,Harder
4/5/2024 11:26:24,2,No,Worse,3.5,Harder
4/5/2024 11:27:42,3,Yes,Worse,3.2,Easier
4/5/2024 11:32:58,4,Yes,Better,3,Easier
4/5/2024 11:52:19,4,Yes,Better,3.9,Easier
4/5/2024 11:57:49,4,Yes,Worse,3.5,Harder
4/5/2024 12:05:08,2,Yes,Better,3.8,Harder
4/5/2024 12:07:51,2,No,Better,3.8,Easier
4/5/2024 12:18:51,4,Yes,Worse,3,Harder
4/5/2024 12:29:14,6,Yes,Better,3,Easier
4/5/2024 12:40:17,2,Yes,Better,3,Easier
4/5/2024 12:43:24,6,Yes,Worse,3,Harder
4/5/2024 12:45:07,6,Yes,Better,3,Harder
4/5/2024 13:00:43,1,Yes,Better,3,Harder
4/5/2024 13:02:41,6,Yes,Better,3.9,Easier
4/5/2024 13:10:07,6,Yes,Worse,2.5,Harder
4/5/2024 13:10:17,4,Yes,Better,3.67,Easier
4/5/2024 13:10:43,3,Yes,Better,3.8,Harder
4/5/2024 13:16:57,6,Yes,Worse,2.6,Harder
4/5/2024 13:24:11,5,Yes,Better,3.85,Harder
4/5/2024 13:29:43,6,Yes,Worse,2,Easier
4/5/2024 13:47:46,1,Yes,Worse,2.5,Easier
4/5/2024 13:51:31,5,No,Worse,3,Easier
4/5/2024 13:56:34,6,Yes,Worse,2.8,Harder
4/5/2024 14:02:38,6,No,Better,3,Easier
4/5/2024 14:03:09,4,Yes,Worse,3.3,Harder
4/5/2024 14:20:11,5,No,Better,3.5,Easier
4/5/2024 14:22:00,4,Yes,Better,3,Harder
4/5/2024 14:56:56,4,Yes,Better,3.1,Easier
4/5/2024 14:59:20,6,Yes,Better,3.4,Easier
4/5/2024 15:02:33,4,Yes,Better,3.8,Harder
4/5/2024 15:03:31,1,Yes,Better,3,Harder
4/5/2024 15:04:42,1,Yes,Worse,3.2,Harder
4/5/2024 15:09:36,3,Yes,Worse,3.5,Easier
4/5/2024 15:23:24,5,Yes,Worse,3.7,Easier
4/5/2024 15:24:18,6,Yes,Worse,3.9,Easier
4/5/2024 15:28:57,6,Yes,Better,3.99,Easier
4/5/2024 15:56:30,6,Yes,Worse,3.5,Harder
4/5/2024 15:56:35,6,Yes,Worse,3.5,Harder
4/5/2024 15:56:51,6,Yes,Worse,3,Harder
4/5/2024 15:56:59,6,Yes,Better,3.9,Easier
4/5/2024 15:58:00,6,Yes,Better,3.8,Easier
4/5/2024 16:18:04,5,Yes,Worse,2.5,Harder
4/5/2024 18:46:20,4,Yes,Better,2.8,Easier
4/5/2024 19:21:43,3,Yes,Better,3.3,Easier
4/5/2024 19:22:15,4,Yes,Better,3.3,Easier
4/5/2024 20:45:06,5,Yes,Better,2.8,Harder
4/5/2024 20:49:09,1,Yes,Better,3,Easier
4/5/2024 21:01:21,1,Yes,Better,3,Harder
4/5/2024 21:08:29,4,Yes,Worse,3,Harder
4/6/2024 1:20:06,4,Yes,Better,3.8,Easier
4/6/2024 1:21:20,5,Yes,Better,3.7,Harder
4/6/2024 8:39:37,4,Yes,Worse,3.7,Harder
4/6/2024 8:40:13,5,Yes,Worse,3.4,Easier
4/6/2024 8:40:46,5,No,Better,3.3,Harder
4/6/2024 8:41:08,3,Yes,Better,3,Easier
4/6/2024 12:08:32,3,Yes,Better,3.5,Harder
4/7/2024 6:10:09,1,No,Better,3,Harder
4/7/2024 6:32:50,4,Yes,Better,3.4,Easier
4/7/2024 6:33:08,4,Yes,Worse,3.2,Harder
4/7/2024 6:33:30,5,Yes,Better,3.6,Easier
4/7/2024 6:33:47,6,Yes,Better,3.7,Easier
4/7/2024 6:34:10,5,Yes,Worse,3.3,Harder
4/7/2024 6:34:36,3,No,Better,3,Harder
4/7/2024 6:35:03,2,Yes,Better,3.5,Easier
4/7/2024 6:35:22,3,Yes,Better,3.4,Harder
4/7/2024 6:35:42,6,Yes,Better,3.6,Harder
4/7/2024 6:36:34,5,Yes,Worse,3.1,Harder
4/7/2024 6:36:57,4,No,Worse,3.1,Easier
4/7/2024 6:37:22,3,Yes,Better,2.9,Easier
4/7/2024 6:37:48,6,Yes,Better,2.8,Easier
4/7/2024 18:35:30,4,Yes,Better,3,Harder
4/7/2024 18:35:47,3,Yes,Better,3,Harder
4/7/2024 18:36:05,4,Yes,Better,3.2,Harder
4/7/2024 18:36:23,5,Yes,Better,3.3,Easier
4/7/2024 18:36:43,5,No,Worse,3.2,Harder
4/7/2024 18:36:59,4,Yes,Worse,3.3,Easier
4/7/2024 18:37:15,4,Yes,Worse,2.9,Harder
4/7/2024 18:37:33,5,Yes,Better,2.7,Easier
4/7/2024 18:37:46,6,Yes,Better,2.9,Easier
4/7/2024 18:38:00,6,Yes,Worse,3,Harder
4/7/2024 18:38:14,4,Yes,Worse,2.9,Harder
4/7/2024 18:38:33,3,Yes,Worse,2.7,Easier
4/7/2024 18:38:53,4,Yes,Better,3.6,Harder
4/7/2024 18:39:07,4,Yes,Better,3.4,Harder
4/7/2024 18:39:24,4,Yes,Worse,2.8,Easier
4/7/2024 18:39:53,6,No,Worse,3.4,Harder
4/7/2024 18:40:24,4,Yes,Worse,3.1,Easier
4/7/2024 18:40:39,5,Yes,Better,2.9,Easier
4/7/2024 18:40:56,3,Yes,Better,3.6,Easier
4/7/2024 18:41:15,2,Yes,Better,3.6,Easier
4/7/2024 18:41:29,4,Yes,Better,3.5,Easier
4/7/2024 18:41:46,4,Yes,Worse,3.4,Harder
4/7/2024 18:42:04,5,No,Worse,3.1,Harder
4/7/2024 18:48:10,4,No,Better,3.3,Harder
4/7/2024 18:48:51,4,Yes,Better,3.6,Easier
4/7/2024 18:49:03,4,Yes,Better,3.4,Harder
4/7/2024 18:49:22,3,Yes,Better,2.9,Easier
4/7/2024 18:51:43,4,Yes,Better,3.4,Easier
4/7/2024 18:52:05,5,Yes,Better,3.5,Easier
4/7/2024 18:52:25,3,Yes,Worse,3.3,Harder
4/7/2024 18:52:41,2,Yes,Better,3.4,Harder
4/7/2024 18:52:55,5,Yes,Better,3.6,Easier
4/7/2024 19:04:02,2,Yes,Worse,2.4,Harder
4/7/2024 19:27:45,3,Yes,Better,2.8,Easier
4/7/2024 19:28:42,3,Yes,Better,3,Harder
4/7/2024 19:29:40,3,Yes,Better,3.5,Harder
4/7/2024 19:32:03,6,Yes,Worse,3,Harder
4/7/2024 19:34:37,4,Yes,Worse,2.5,Harder
4/7/2024 19:36:05,3,Yes,Better,3.8,Easier
4/7/2024 19:36:47,4,Yes,Worse,2.5,Harder
4/7/2024 19:37:49,6,Yes,Better,3.5,Harder
4/7/2024 19:38:28,3,Yes,Better,3.5,Easier
4/7/2024 19:40:35,6,Yes,Better,3,Easier
4/7/2024 19:42:08,4,Yes,Better,1,Harder
4/7/2024 19:45:35,6,Yes,Worse,3,Harder
4/7/2024 19:46:38,4,Yes,Worse,1.34,Harder
4/7/2024 19:47:02,4,Yes,Worse,2.7,Harder
4/7/2024 19:48:58,4,Yes,Better,3.5,Harder
4/7/2024 19:51:10,3,Yes,Worse,3,Harder
4/7/2024 19:57:23,4,Yes,Better,3.7,Easier
4/7/2024 19:57:38,3,No,Worse,3.7,Harder
4/7/2024 19:57:55,5,Yes,Better,3.3,Easier
4/7/2024 19:58:09,5,Yes,Better,3.7,Easier
4/7/2024 19:58:30,6,Yes,Better,3.4,Easier
4/7/2024 19:58:43,5,Yes,Better,3.4,Easier
4/7/2024 19:59:21,3,Yes,Better,3.5,Easier
4/7/2024 19:59:56,1,No,Better,3,Easier
4/7/2024 20:00:16,5,Yes,Better,3.5,Easier
4/7/2024 20:00:58,3,Yes,Better,2.5,Harder
4/7/2024 20:01:25,5,Yes,Better,3.4,Easier
4/7/2024 20:01:38,6,Yes,Worse,2.9,Harder
4/7/2024 20:01:51,3,No,Worse,2.9,Harder
4/7/2024 20:02:34,6,Yes,Better,3.4,Easier
4/7/2024 20:02:55,6,Yes,Better,3.4,Easier
4/7/2024 20:03:18,6,Yes,Better,3.4,Easier
4/7/2024 20:03:37,4,Yes,Better,3.1,Harder
4/7/2024 20:03:42,6,Yes,Better,3.4,Easier
4/7/2024 20:04:16,4,Yes,Better,3.1,Harder
4/5/2024 14:59:20,6,Yes,Better,3.4,Easier
4/5/2024 15:02:33,4,Yes,Better,3.8,Harder
4/5/2024 15:03:31,1,Yes,Better,3,Easier
4/5/2024 15:04:42,1,Yes,Worse,3.2,Harder
4/5/2024 15:09:36,3,Yes,Worse,3.5,Easier
4/5/2024 15:23:24,5,Yes,Worse,3.7,Easier
4/5/2024 15:24:18,6,Yes,Worse,3.9,Harder
